in,the
i,dont
this,is
if,you
of,the
i,think
it,was
is,the
i,have
do,you
i,was
to,be
is,a
as,a
have,a
i,like
in,a
like,a
on,the
for,the
are,you
you,have
i,thought
when,i
you,can
a,lot
did,you
that,was
i,know
of,a
sounds,like
want,to
i,am
i,would
one,of
i,just
to,the
its,not
i,can
you,are
if,i
kind,of
you,know
you,dont
he,was
was,a
out,of
all,the
have,to
had,a
i,feel
the,fuck
that,is
going,to
would,be
i,got
on,a
and,i
not,a
its,a
i,love
dont,know
i,cant
with,a
the,same
for,a
i,had
the,best
but,i
what,the
roses,are
the,only
at,the
need,to
the,first
was,the
a,good
it,is
at,least
like,the
with,the
feel,like
lot,of
im,not
a,girl
like,my
im,a
thats,a
so,i
yeah,i
when,you
the,most
all,of
i,didnt
if,it
i,guess
you,get
if,youre
would,have
i,hate
